#LIBRARY    ENDF/B-VIII.0
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       200.193      Lin-Lin
 1.10304E-05 190.703      Lin-Lin
 1.21669E-05 181.671      Lin-Lin
 1.34206E-05 173.076      Lin-Lin
 1.48034E-05 164.898      Lin-Lin
 1.63286E-05 157.115      Lin-Lin
 1.80111E-05 149.711      Lin-Lin
 1.98669E-05 142.667      Lin-Lin
 2.19139E-05 135.965      Lin-Lin
 2.41719E-05 129.591      Lin-Lin
 2.66625E-05 123.528      Lin-Lin
 2.94097E-05 117.762      Lin-Lin
 3.244E-05   112.279      Lin-Lin
 3.57825E-05 107.066      Lin-Lin
 3.94694E-05 102.11       Lin-Lin
 4.35362E-05 97.3995      Lin-Lin
 4.80221E-05 92.9231      Lin-Lin
 5.29701E-05 88.67        Lin-Lin
 5.88402E-05 84.348       Lin-Lin
 6.53575E-05 80.2606      Lin-Lin
 7.26003E-05 76.3924      Lin-Lin
 8.06417E-05 72.7363      Lin-Lin
 8.95783E-05 69.2788      Lin-Lin
 9.95003E-05 66.0134      Lin-Lin
 0.000110527 62.9278      Lin-Lin
 0.000122769 60.0166      Lin-Lin
 0.000136374 57.2685      Lin-Lin
 0.000151479 54.6786      Lin-Lin
 0.000168266 52.2368      Lin-Lin
 0.000186904 49.9387      Lin-Lin
 0.000207616 47.7754      Lin-Lin
 0.000230612 45.7427      Lin-Lin
 0.000256169 43.8326      Lin-Lin
 0.000284542 42.0413      Lin-Lin
 0.000318288 40.254       Lin-Lin
 0.000356037 38.5884      Lin-Lin
 0.000398262 37.0386      Lin-Lin
 0.000445496 35.5988      Lin-Lin
 0.000498331 34.2635      Lin-Lin
 0.000561366 32.9532      Lin-Lin
 0.000632341 31.7494      Lin-Lin
 0.000712326 30.645       Lin-Lin
 0.000808048 29.5787      Lin-Lin
 0.000916634 28.6113      Lin-Lin
 0.00104709  27.6905      Lin-Lin
 0.00119618  26.865       Lin-Lin
 0.00137607  26.0914      Lin-Lin
 0.0015941   25.3752      Lin-Lin
 0.0018597   24.72        Lin-Lin
 0.00218485  24.1282      Lin-Lin
 0.00260294  23.5799      Lin-Lin
 0.00314495  23.0833      Lin-Lin
 0.00385323  22.6436      Lin-Lin
 0.00482141  22.2508      Lin-Lin
 0.00620428  21.9021      Lin-Lin
 0.00826856  21.5985      Lin-Lin
 0.0114921   21.3422      Lin-Lin
 0.0170122   21.1284      Lin-Lin
 0.0252419   20.9824      Lin-Lin
 0.0253      20.9817      Lin-Lin
 0.046537    20.842       Lin-Lin
 0.112489    20.7352      Lin-Lin
 0.563381    20.6015      Lin-Lin
 7.26399     19.4623      Lin-Lin
 15.4784     18.2251      Lin-Lin
 24.0654     17.0779      Lin-Lin
 33.2148     15.9942      Lin-Lin
 42.7415     14.9944      Lin-Lin
 52.7368     14.0657      Lin-Lin
 62.8285     13.2317      Lin-Lin
 73.8137     12.4259      Lin-Lin
 85.5089     11.6668      Lin-Lin
 98.3681     10.9309      Lin-Lin
 111.587     10.2645      Lin-Lin
 124.821     9.67477      Lin-Lin
 138.653     9.1276       Lin-Lin
