#LIBRARY    ENDF/B-VIII.0
#REACTION   S-32(N,EL)S-32-L0,SIG
#NUCLEUS    S-32
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       9.74641      Lin-Lin
 1.10304E-05 9.28401      Lin-Lin
 1.21669E-05 8.84393      Lin-Lin
 1.34206E-05 8.42512      Lin-Lin
 1.48034E-05 8.02657      Lin-Lin
 1.63286E-05 7.64731      Lin-Lin
 1.80111E-05 7.28645      Lin-Lin
 1.98669E-05 6.94311      Lin-Lin
 2.19139E-05 6.61646      Lin-Lin
 2.43087E-05 6.2883       Lin-Lin
 2.68133E-05 5.99357      Lin-Lin
 2.95761E-05 5.71325      Lin-Lin
 3.26235E-05 5.44666      Lin-Lin
 3.5985E-05  5.19316      Lin-Lin
 3.96927E-05 4.95215      Lin-Lin
 4.37826E-05 4.72304      Lin-Lin
 4.82938E-05 4.50527      Lin-Lin
 5.32698E-05 4.29833      Lin-Lin
 5.87586E-05 4.10172      Lin-Lin
 6.52701E-05 3.90193      Lin-Lin
 7.24996E-05 3.71299      Lin-Lin
 8.05339E-05 3.53419      Lin-Lin
 8.94541E-05 3.3652       Lin-Lin
 9.93672E-05 3.2054       Lin-Lin
 0.000110373 3.05449      Lin-Lin
 0.000122605 2.9119       Lin-Lin
 0.000136185 2.77738      Lin-Lin
 0.000151277 2.6504       Lin-Lin
 0.000168032 2.53074      Lin-Lin
 0.000186654 2.41794      Lin-Lin
 0.000207328 2.31178      Lin-Lin
 0.000230304 2.21186      Lin-Lin
 0.000255813 2.11799      Lin-Lin
 0.000284162 2.02979      Lin-Lin
 0.000315636 1.94708      Lin-Lin
 0.00035307  1.86458      Lin-Lin
 0.000394944 1.78771      Lin-Lin
 0.000441784 1.71619      Lin-Lin
 0.000494179 1.64977      Lin-Lin
 0.000552788 1.58818      Lin-Lin
 0.00062271  1.52776      Lin-Lin
 0.000701441 1.47226      Lin-Lin
 0.000790167 1.42137      Lin-Lin
 0.00089635  1.37224      Lin-Lin
 0.0010168   1.32768      Lin-Lin
 0.00116152  1.2853       Lin-Lin
