#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1.10304E-05 19.5039      Lin-Lin
 1.21669E-05 18.5783      Lin-Lin
 1.34206E-05 17.6974      Lin-Lin
 1.48034E-05 16.859       Lin-Lin
 1.63286E-05 16.0612      Lin-Lin
 1.80111E-05 15.302       Lin-Lin
 1.98669E-05 14.5795      Lin-Lin
 2.19139E-05 13.8922      Lin-Lin
 2.41719E-05 13.2382      Lin-Lin
 2.66625E-05 12.6161      Lin-Lin
 2.94097E-05 12.0243      Lin-Lin
 3.244E-05   11.4614      Lin-Lin
 3.57825E-05 10.926       Lin-Lin
 3.94694E-05 10.4169      Lin-Lin
 4.35362E-05 9.93291      Lin-Lin
 4.80221E-05 9.47274      Lin-Lin
 5.29701E-05 9.03534      Lin-Lin
 5.8428E-05  8.61964      Lin-Lin
 6.44482E-05 8.22466      Lin-Lin
 7.15903E-05 7.82326      Lin-Lin
 7.95199E-05 7.44361      Lin-Lin
 8.83321E-05 7.08429      Lin-Lin
 9.8116E-05  6.74466      Lin-Lin
 0.00010899  6.42342      Lin-Lin
 0.000121061 6.12003      Lin-Lin
 0.000134477 5.83329      Lin-Lin
 0.000149372 5.56273      Lin-Lin
 0.000165925 5.30729      Lin-Lin
 0.000184303 5.06651      Lin-Lin
 0.000204728 4.83947      Lin-Lin
 0.000227404 4.62575      Lin-Lin
 0.000252605 4.42451      Lin-Lin
 0.000280584 4.23539      Lin-Lin
 0.000311678 4.05763      Lin-Lin
 0.000346199 3.89088      Lin-Lin
 0.000387258 3.72445      Lin-Lin
 0.000433187 3.5693       Lin-Lin
 0.000484562 3.42489      Lin-Lin
 0.000542031 3.29067      Lin-Lin
 0.000606111 3.1665       Lin-Lin
 0.000682744 3.04427      Lin-Lin
 0.000769105 2.93181      Lin-Lin
 0.000866345 2.82868      Lin-Lin
 0.000982765 2.72898      Lin-Lin
 0.00111483  2.63849      Lin-Lin
 0.00127356  2.55227      Lin-Lin
 0.00145482  2.47497      Lin-Lin
 0.0016736   2.40244      Lin-Lin
 0.00193887  2.33523      Lin-Lin
 0.00226191  2.27373      Lin-Lin
 0.00265726  2.21815      Lin-Lin
 0.00314374  2.16851      Lin-Lin
 0.00377174  2.1231       Lin-Lin
 0.00458904  2.08247      Lin-Lin
 0.00570216  2.0458       Lin-Lin
 0.00728624  2.01291      Lin-Lin
 0.00957543  1.9846       Lin-Lin
 0.0131233   1.96025      Lin-Lin
 0.0190234   1.93986      Lin-Lin
 0.0251495   1.92881      Lin-Lin
 0.0253      1.9286       Lin-Lin
 0.0433887   1.91439      Lin-Lin
 0.0905297   1.90403      Lin-Lin
 0.293678    1.89744      Lin-Lin
 7.5758      1.89452      Lin-Lin
 18427.9     1.66976      Lin-Lin
 25096.1     1.57802      Lin-Lin
 29996.3     1.5002       Lin-Lin
 31725.1     1.46964      Lin-Lin
 31739.1     1.47251      Lin-Lin
 31751.3     1.48069      Lin-Lin
 31769.8     1.46946      Lin-Lin
 35550.8     1.39263      Lin-Lin
 38005.6     1.33416      Lin-Lin
 40141.3     1.27487      Lin-Lin
 41473.6     1.23225      Lin-Lin
 42805.8     1.18438      Lin-Lin
 44138.1     1.12879      Lin-Lin
 45151.8     1.08041      Lin-Lin
 45788.8     1.04622      Lin-Lin
 46434.8     1.00812      Lin-Lin
 47278.4     0.952135     Lin-Lin
 47963       0.900311     Lin-Lin
 48459.1     0.8586       Lin-Lin
 48955.2     0.812066     Lin-Lin
 49451.3     0.760903     Lin-Lin
 49782.1     0.723306     Lin-Lin
 50195.5     0.671945     Lin-Lin
 50443.5     0.638686     Lin-Lin
 50691.6     0.6032       Lin-Lin
 50939.6     0.565397     Lin-Lin
 51249.7     0.514541     Lin-Lin
 51493.6     0.471573     Lin-Lin
 51725.1     0.428172     Lin-Lin
 51964.9     0.380412     Lin-Lin
 52163.3     0.338829     Lin-Lin
 52361.7     0.2952       Lin-Lin
